"Teilnehmer","Startzeit","Endzeit","Quelle","To which gender do you assign to?","How old are you?","In which employment relationship are you at the moment?","How much do you like reading on a scale from 1 (not at all) to 10 (very much)? (Punkte von 1 bis 10) ","How often do you use print media (independent of which media you use)?","How often do you read in newspapers/ magazines etc.?","How often do you read in a book (meant here is literature you read in your free time like novels etc.)?","At which time of the day do you read normally? (Multiple choices are possible.) (in the morning)","At which time of the day do you read normally? (Multiple choices are possible.) (at noon)","At which time of the day do you read normally? (Multiple choices are possible.) (in the afternoon)","At which time of the day do you read normally? (Multiple choices are possible.) (in the evening)","At which time of the day do you read normally? (Multiple choices are possible.) (at night)","How relaxed do you feel after you've read a book on a scale from 1 (not at all relaxed) to 10 (very relaxed)? (Punkte von 1 bis 10) ","How difficult is it for you to focus on a book over a longer time period on a scale from 1 (not at all difficult) to 10 (very difficult)? (Punkte von 1 bis 10) ","How stressed do you feel after you've read a book on a scale from 1 (not at all stressed) to 10 (very stressed)? (Punkte von 1 bis 10) ","How exhausting is it for you to read a book on a scale of 1 (not at all exhausting) to 10 (very exhausting)? (Punkte von 1 bis 10) ","How often do you have symptoms like a headache, burning eyes etc. after you've read?","How motivated are you to become physically active after you've read a book on a scale of 1 (not at all motivated) to 10 (very motivated)? (Punkte von 1 bis 10) ","How often do you eat snacks during reading?","How much do you like watching movies / series on a scale from 1 (not at all) to 10 (very much)? (Punkte von 1 bis 10) ","How often do you use visual media (independent of which media you use)?","How often do you watch television broadcasts / movies / series etc. in the regular TV program?","How often do you use streaming services for watching movies / series?","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (in the morning)","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (at noon)","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (in the afternoon)","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (in the evening)","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (at night)","How relaxed do you feel after you've watched a movie / a series on a scale from 1 (not at all relaxed) to 10 (very relaxed)? (Punkte von 1 bis 10) ","How difficult is it for you to focus on a movie / a series over a longer time period on a scale from 1 (not at all difficult) to 10 (very difficult)? (Punkte von 1 bis 10) ","How stressed do you feel after you've watched a movie / a series on a scale from 1 (not at all stressed) to 10 (very stressed)? (Punkte von 1 bis 10) ","How exhausting is it for you to watch a movie / a series on a scale from 1 (not at all exhausting) to 10 (very exhausting)? (Punkte von 1 bis 10) ","How often do you have symptoms like a headache, burning eyes etc. after you've watched a movie / a series?","How motivated are you to become physically active after you've watched a movie / a series on a scale from 1 (not at all motivated) to 10 (very motivated)? (Punkte von 1 bis 10) ","How often do you eat snacks during watching a movie / a series?","What do you think is healthier?"
"1","23.06.2021 09:43:37","23.06.2021 09:46:05","Direkter Link","female","21","(university) student","8","seldom","never","sometimes","1","1","1","1","0","9","7","2","3","never","2","never","10","often","seldom","very often","1","0","0","1","0","5","2","2","3","seldom","2","seldom","Reading a book is healthier."
"2","23.06.2021 09:44:55","23.06.2021 09:48:44","Direkter Link","male","21","(university) student","8","sometimes","never","often","0","0","0","1","0","9","3","1","2","seldom","2","seldom","8","often","often","often","0","0","0","0","1","6","4","3","2","seldom","2","sometimes","Reading a book is healthier."
"3","23.06.2021 09:51:15","23.06.2021 09:56:04","Direkter Link","female","22","(university) student","9","seldom","seldom","sometimes","0","1","1","1","0","10","2","1","1","never","3","seldom","8","very often","seldom","often","0","0","0","1","1","7","2","3","4","seldom","3","sometimes","Reading a book is healthier."
"4","23.06.2021 11:30:24","23.06.2021 11:34:39","Direkter Link","female","45","employee","10","often","often","often","0","0","0","1","1","8","1","1","2","sometimes","3","seldom","8","often","very often","often","0","0","0","1","1","7","4","2","1","sometimes","3","sometimes","Reading a book is healthier."
"5","23.06.2021 09:32:11","23.06.2021 09:35:55","Direkter Link","female","27","(university) student","9","often","seldom","sometimes","1","0","1","1","1","5","2","3","2","seldom","4","seldom","3","often","never","never","0","0","0","1","1","4","2","5","2","seldom","3","sometimes","Both is equally healthy."
"6","23.06.2021 11:41:05","23.06.2021 11:44:23","Direkter Link","male","20","(university) student","3","seldom","seldom","seldom","0","0","0","1","1","6","10","5","7","never","5","sometimes","10","very often","never","very often","0","0","1","1","1","7","7","3","2","seldom","3","sometimes","Both is equally healthy."
"7","23.06.2021 11:38:21","23.06.2021 11:45:26","Direkter Link","female","21","(university) student","9","often","sometimes","often","0","0","1","1","0","10","2","1","2","never","5","never","9","very often","sometimes","very often","0","0","0","1","1","7","3","3","2","seldom","4","sometimes","Reading a book is healthier."
"8","23.06.2021 12:13:08","23.06.2021 12:24:48","Direkter Link","male","21","(university) student","4","seldom","never","seldom","0","0","0","1","0","4","9","3","4","never","2","never","4","very often","never","never","0","0","0","1","0","8","2","2","2","never","2","sometimes","Both is equally healthy."
"9","23.06.2021 12:25:23","23.06.2021 12:29:30","Direkter Link","divers","21","(university) student","9","sometimes","never","sometimes","0","0","0","1","0","6","8","2","3","never","7","never","7","very often","never","sometimes","0","0","0","1","1","4","6","3","2","never","9","sometimes","Both is equally healthy."
"10","23.06.2021 12:52:03","23.06.2021 12:57:04","Direkter Link","male","21","(university) student","4","seldom","never","sometimes","0","1","1","0","0","8","6","2","9","never","1","seldom","10","very often","never","very often","0","0","0","0","1","8","3","3","1","never","1","seldom","Both is equally healthy."
