"Teilnehmer","Startzeit","Endzeit","Quelle","Welchem Geschlecht ordnen Sie sich zu?","Wie alt sind Sie?","In welchem Arbeitsverhältnis befinden Sie sich zur Zeit?","Wie gern lesen Sie auf einer Skala von 1 (gar nicht gern) bis 10 (sehr gern)? (Punkte von 1 bis 10) ","Wie oft nutzen Sie Printmedien (unabhängig davon, welche Medien Sie nutzen)?","Wie oft lesen Sie in einer Zeitung/ Zeitschrift etc.?","Wie oft lesen Sie in einem Buch (gemeint ist Freizeitliteratur, d.h. Romane etc.)?","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (morgens)","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (mittags)","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (nachmittags)","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (abends)","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (nachts)","Wie entspannt fühlen Sie sich nach dem Lesen eines Buches auf einer Skala von 1 (gar nicht entspannt) bis 10 (sehr entspannt)? (Punkte von 1 bis 10) ","Wie schwer fällt es Ihnen, sich über einen längeren Zeitraum auf ein Buch zu konzentrieren auf einer Skala von 1 (gar nicht schwer) bis 10 (sehr schwer)? (Punkte von 1 bis 10) ","Wie gestresst fühlen Sie sich nach dem Lesen eines Buches auf einer Skala von 1 (gar nicht gestresst) bis 10 (sehr gestresst)? (Punkte von 1 bis 10) ","Wie anstrengend empfinden Sie es, ein Buch zu lesen auf einer Skala von 1 (gar nicht anstrengend) bis 10 (sehr anstrengend)? (Punkte von 1 bis 10) ","Wie oft haben Sie Symptome wie Kopfschmerzen, brennende Augen etc. nach dem Lesen?","Wie motiviert sind Sie nach dem Lesen eines Buches, körperlich aktiv zu werden auf einer Skala von 1 (gar nicht motiviert) bis 10 (sehr motiviert)? (Punkte von 1 bis 10) ","Wie oft konsumieren Sie Snacks während des Lesens?","Wie gern schauen Sie Filme / Serien auf einer Skala von 1 (gar nicht gern) bis 10 (sehr gern)? (Punkte von 1 bis 10) ","Wie oft nutzen Sie visuelle Medien (unabhängig davon, welche Medien Sie nutzen)?","Wie oft schauen Sie Sendungen / Filme / Serien etc. im regulären Fernsehprogramm?","Wie oft nutzen Sie Streaming Dienste zum Schauen von Filmen / Serien?","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (morgens)","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (mittags)","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (nachmittags)","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (abends)","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (nachts)","Wie entspannt fühlen Sie sich nach dem Schauen eines Filmes / einer Serie auf einer Skala von 1 (gar nicht entspannt) bis 10 (sehr entspannt)? (Punkte von 1 bis 10) ","Wie schwer fällt es Ihnen, sich über einen längeren Zeitraum auf einen Film / eine Serie zu konzentrieren auf einer Skala von 1 (gar nicht schwer) bis 10 (sehr schwer)? (Punkte von 1 bis 10) ","Wie gestresst fühlen Sie sich nach dem Schauen eines Filmes / einer Serie auf einer Skala von 1 (gar nicht gestresst) bis 10 (sehr gestresst)? (Punkte von 1 bis 10) ","Wie anstrengend empfinden Sie es, einen Film / eine Serie zu schauen auf einer Skala von 1 (gar nicht anstrengend) bis 10 (sehr anstrengend)? (Punkte von 1 bis 10) ","Wie oft haben Sie Symptome wie Kopfschmerzen, brennende Augen etc. nachdem Sie einen Film / eine Serie geschaut haben?","Wie motiviert sind Sie nach dem Schauen eines Filmes / einer Serie, körperlich aktiv zu werden auf einer Skala von 1 (gar nicht motiviert) bis 10 (sehr motiviert)? (Punkte von 1 bis 10) ","Wie oft konsumieren Sie Snacks während Sie einen Film / eine Serie schauen?","Was denken Sie, ist gesünder?"
"1","23.06.2021 09:43:37","23.06.2021 09:46:05","Direkter Link","weiblich","21","Schüler*in / Student*in","8","selten","nie","gelegentlich","1","1","1","1","0","9","7","2","3","nie","2","nie","10","oft","selten","sehr oft","1","0","0","1","0","5","2","2","3","selten","2","selten","Ein Buch zu lesen ist gesünder."
"2","23.06.2021 09:44:55","23.06.2021 09:48:44","Direkter Link","männlich","21","Schüler*in / Student*in","8","gelegentlich","nie","oft","0","0","0","1","0","9","3","1","2","selten","2","selten","8","oft","oft","oft","0","0","0","0","1","6","4","3","2","selten","2","gelegentlich","Ein Buch zu lesen ist gesünder."
"3","23.06.2021 09:51:15","23.06.2021 09:56:04","Direkter Link","weiblich","22","Schüler*in / Student*in","9","selten","selten","gelegentlich","0","1","1","1","0","10","2","1","1","nie","3","selten","8","sehr oft","selten","oft","0","0","0","1","1","7","2","3","4","selten","3","gelegentlich","Ein Buch zu lesen ist gesünder."
"4","23.06.2021 11:30:24","23.06.2021 11:34:39","Direkter Link","weiblich","45","Angestellte*r","10","oft","oft","oft","0","0","0","1","1","8","1","1","2","gelegentlich","3","selten","8","oft","sehr oft","oft","0","0","0","1","1","7","4","2","1","gelegentlich","3","gelegentlich","Ein Buch zu lesen ist gesünder."
"5","23.06.2021 09:32:11","23.06.2021 09:35:55","Direkter Link","weiblich","27","Schüler*in / Student*in","9","oft","selten","gelegentlich","1","0","1","1","1","5","2","3","2","selten","4","selten","3","oft","nie","nie","0","0","0","1","1","4","2","5","2","selten","3","gelegentlich","Beides ist gleichermaßen gesund."
"6","23.06.2021 11:41:05","23.06.2021 11:44:23","Direkter Link","männlich","20","Schüler*in / Student*in","3","selten","selten","selten","0","0","0","1","1","6","10","5","7","nie","5","gelegentlich","10","sehr oft","nie","sehr oft","0","0","1","1","1","7","7","3","2","selten","3","gelegentlich","Beides ist gleichermaßen gesund."
"7","23.06.2021 11:38:21","23.06.2021 11:45:26","Direkter Link","weiblich","21","Schüler*in / Student*in","9","oft","gelegentlich","oft","0","0","1","1","0","10","2","1","2","nie","5","nie","9","sehr oft","gelegentlich","sehr oft","0","0","0","1","1","7","3","3","2","selten","4","gelegentlich","Ein Buch zu lesen ist gesünder."
"8","23.06.2021 12:13:08","23.06.2021 12:24:48","Direkter Link","männlich","21","Schüler*in / Student*in","4","selten","nie","selten","0","0","0","1","0","4","9","3","4","nie","2","nie","4","sehr oft","nie","nie","0","0","0","1","0","8","2","2","2","nie","2","gelegentlich","Beides ist gleichermaßen gesund."
"9","23.06.2021 12:25:23","23.06.2021 12:29:30","Direkter Link","divers","21","Schüler*in / Student*in","9","gelegentlich","nie","gelegentlich","0","0","0","1","0","6","8","2","3","nie","7","nie","7","sehr oft","nie","gelegentlich","0","0","0","1","1","4","6","3","2","nie","9","gelegentlich","Beides ist gleichermaßen gesund."
"10","23.06.2021 12:52:03","23.06.2021 12:57:04","Direkter Link","männlich","21","Schüler*in / Student*in","4","selten","nie","gelegentlich","0","1","1","0","0","8","6","2","9","nie","1","selten","10","sehr oft","nie","sehr oft","0","0","0","0","1","8","3","3","1","nie","1","selten","Beides ist gleichermaßen gesund."
"11","23.06.2021 13:06:38","23.06.2021 13:12:23","Direkter Link","weiblich","60","Angestellte*r","10","sehr oft","gelegentlich","sehr oft","0","0","0","1","0","9","7","1","1","nie","1","selten","9","oft","sehr oft","nie","0","0","0","1","0","5","5","5","5","selten","3","selten","Ein Buch zu lesen ist gesünder."
"12","23.06.2021 14:57:58","23.06.2021 15:03:55","Direkter Link","männlich","21","Schüler*in / Student*in","4","gelegentlich","selten","gelegentlich","0","0","0","1","1","8","6","2","4","selten","2","selten","10","sehr oft","selten","sehr oft","0","1","1","1","1","9","1","1","2","selten","4","gelegentlich","Ein Buch zu lesen ist gesünder."
"13","23.06.2021 16:13:03","23.06.2021 16:18:34","Direkter Link","weiblich","28","Angestellte*r","8","gelegentlich","selten","gelegentlich","0","0","0","1","0","8","2","1","2","nie","6","nie","9","sehr oft","selten","oft","1","0","0","1","0","5","1","2","2","nie","4","gelegentlich","Ein Buch zu lesen ist gesünder."
